Text,Target 1,Stance 1,Domain,In Use,Type
疫见 如果说疫苗是病毒的通缉令，抗体则是完成培训的警察，通过增加警力可以抑制犯罪增长，但不代表0犯罪。只要病毒浓度足够高，抗体也会吃不消，所以更多的传染路径会增加疫苗接种者感染的现象。这是持久战，疫苗加强针很有必要。,病毒,反对,新冠疫情,0,noun_phrases
就，我感觉我在 的zz参与度都比在 高起码一直有人问我怎么看待大选和未来的走向。这个放guo内，那是“人间不敢想”,大选,中立,世界事件,1,noun_phrases
就，我感觉我在 的zz参与度都比在 高起码一直有人问我怎么看待大选和未来的走向。这个放guo内，那是“人间不敢想”,未来走向,中立,世界事件,1,noun_phrases
近期西班牙男篮获得欧洲杯冠军，西班牙女足U17、U20均斩获世界杯冠军，卡塔尔世界杯临近都在给西班牙男足做出榜样。能不能延续西班牙体育这段时间的强势期就看世界杯板鸭的表现了，压力来到了恩里克这一边。,卡塔尔世界杯,中立,体育,1,noun_phrases
近期西班牙男篮获得欧洲杯冠军，西班牙女足U17、U20均斩获世界杯冠军，卡塔尔世界杯临近都在给西班牙男足做出榜样。能不能延续西班牙体育这段时间的强势期就看世界杯板鸭的表现了，压力来到了恩里克这一边。,西班牙,中立,体育,1,noun_phrases
我反正是保守的 为啥从过去到现在只谈过男朋友、只和男的发生过行为、没有追求过女生、和女生没有过暧昧、对女生没有杏欲的人可以叫自己是双啊双在哪了 哪位lgbtq大使给我解释解释啊这类人是双的话我都能当铁T了,双性恋,中立,权益,1,noun_phrases
我反正是保守的 为啥从过去到现在只谈过男朋友、只和男的发生过行为、没有追求过女生、和女生没有过暧昧、对女生没有杏欲的人可以叫自己是双啊双在哪了 哪位lgbtq大使给我解释解释啊这类人是双的话我都能当铁T了,同性恋大使,中立,权益,1,noun_phrases
每日一思考 疫情一放开，医疗需求矛盾终究还是转移到医院来了，转移到医生这块了，希望各位病友善待接诊你的医生，特别年纪大的专家，教授，他们冒着风险替你解除病患！未来，医患不和谐的报道肯定会多起来！,医疗专家,支持,权益,1,noun_phrases
每日一思考 疫情一放开，医疗需求矛盾终究还是转移到医院来了，转移到医生这块了，希望各位病友善待接诊你的医生，特别年纪大的专家，教授，他们冒着风险替你解除病患！未来，医患不和谐的报道肯定会多起来！,疫情放开,中立,权益,0,noun_phrases
22 12 11晴，刚觉得最近实在太忙，没空做饭，前脚把屯的萝卜大菜送了洁仔，后脚就接到通知，下周三天居家办公。,工作繁忙,反对,新冠疫情,1,noun_phrases
22 12 11晴，刚觉得最近实在太忙，没空做饭，前脚把屯的萝卜大菜送了洁仔，后脚就接到通知，下周三天居家办公。,居家办公,中立,新冠疫情,0,noun_phrases
都是素质教育走来的人，为什么差距这么大，打游戏就不管其他三个睡着的舍友了，键盘声吵声音还大，感觉活在一线战场,素质教育,支持,文化教育,1,noun_phrases
都是素质教育走来的人，为什么差距这么大，打游戏就不管其他三个睡着的舍友了，键盘声吵声音还大，感觉活在一线战场,打游戏舍友,反对,文化教育,1,noun_phrases
《卿卿日常》女主角李薇迫于家里无权无势，不得不被送往被称之为九川之首的新川参与为新川少主择妻妾的选秀。而与她同时进宫的，还有身为李薇故交郝葭，和丹川郡主上官婧。而值得探讨的是，决定性格的，却又是在很大程度上不能由自身决定的家庭和环境。而这三位的命运，就是对,卿卿日常,中立,权益,1,noun_phrases
《卿卿日常》女主角李薇迫于家里无权无势，不得不被送往被称之为九川之首的新川参与为新川少主择妻妾的选秀。而与她同时进宫的，还有身为李薇故交郝葭，和丹川郡主上官婧。而值得探讨的是，决定性格的，却又是在很大程度上不能由自身决定的家庭和环境。而这三位的命运，就是对,李薇,中立,权益,1,noun_phrases
帝梦之后宫天下 我的妃子怎么全是文盲啊 无论大选还是小选 来的全是文盲和家世低的 生出来的孩子不是智障就是活不长,文盲,反对,世界事件,1,noun_phrases
帝梦之后宫天下 我的妃子怎么全是文盲啊 无论大选还是小选 来的全是文盲和家世低的 生出来的孩子不是智障就是活不长,帝梦之后宫天下,中立,世界事件,1,noun_phrases
为进一步培养居民垃圾分类投放的好习惯，增强垃圾分类意识，站东街道铁垃分办联合五社区11月7日上午到铁路五村开展了垃圾分类进社区宣传活动。,垃圾分类,支持,环保,1,noun_phrases
为进一步培养居民垃圾分类投放的好习惯，增强垃圾分类意识，站东街道铁垃分办联合五社区11月7日上午到铁路五村开展了垃圾分类进社区宣传活动。,社区宣传,支持,环保,1,noun_phrases
罗马 2018 在墨西哥这种政治经济环境差的离谱 男性普遍未受教育的地方本应该生育率低的 但先实现人口负增长的往往是发达地区 现在想来是发达地女性看清楚了物种的缺陷和社会结构的天然缺陷。 这部电影起码让我有很深的共情 以第三者身份同喜同悲的感觉 电影院前独自坐着 风沙里独立着 对本不想要的死胎的留恋 为了腾时间的旅行和海浪中的孩子 以及被一遍遍冲刷的地板,人口负增长,中立,世界事件,1,noun_phrases
工作佩戴N95加强防护，让医患都更安心一些希望广州这一波快快过去吧～ 2广州·广州莲之花口腔门诊部 云来斯堡店,佩戴口罩,支持,权益,1,noun_phrases
工作佩戴N95加强防护，让医患都更安心一些希望广州这一波快快过去吧～ 2广州·广州莲之花口腔门诊部 云来斯堡店,医患安心,支持,权益,1,noun_phrases
抛开一些让我反感的设定和情节，我对不同类型的角色的期许是不一样的。虽然这么又充满了东亚爹妈感但随便吧。比如弱智金毛狗可以当弱智金毛狗，比格可以是比格，但亚逼类事业逼会获得我阴暗地 鸡娃礼包,鸡娃礼包,支持,文化教育,1,noun_phrases
抛开一些让我反感的设定和情节，我对不同类型的角色的期许是不一样的。虽然这么又充满了东亚爹妈感但随便吧。比如弱智金毛狗可以当弱智金毛狗，比格可以是比格，但亚逼类事业逼会获得我阴暗地 鸡娃礼包,东亚爹妈感,反对,文化教育,1,noun_phrases
看了金钟云的vlog…我真的觉得南韩你怎么配啊…说实在的…谁懂这种感觉 他介绍的是韩国有名的艺术家 虽然是作为他欣赏的人出发的 但这也是一种文化输出吧…而且真的做得很精美很好 呜呜 听旁白听晕倒了,金钟云的vlog,支持,文化教育,1,noun_phrases
看了金钟云的vlog…我真的觉得南韩你怎么配啊…说实在的…谁懂这种感觉 他介绍的是韩国有名的艺术家 虽然是作为他欣赏的人出发的 但这也是一种文化输出吧…而且真的做得很精美很好 呜呜 听旁白听晕倒了,南韩,反对,文化教育,1,noun_phrases
充电桩作为新能源车时代的必备配套，行业的市场规模和成长确定性无可置疑。尽管关于充电桩的建设仍有诸多难题有待解决，在当前市场竞争格局渐定，商业模式逐渐成熟的变化趋势下，行业收获红利回报或也应该在不远处了。就看谁能从这跑马圈地的竞争中，笑到最后了。 O充电桩行业，红利渐现,充电桩,中立,环保,1,noun_phrases
充电桩作为新能源车时代的必备配套，行业的市场规模和成长确定性无可置疑。尽管关于充电桩的建设仍有诸多难题有待解决，在当前市场竞争格局渐定，商业模式逐渐成熟的变化趋势下，行业收获红利回报或也应该在不远处了。就看谁能从这跑马圈地的竞争中，笑到最后了。 O充电桩行业，红利渐现,收获红利回报,中立,环保,1,noun_phrases
新能源与大科技还真是不靠谱，，昨天反弹一下今天基本全是绿了，，好多都是昨天反弹的，还不足今天杀跌的，，不希望能连续反弹，但求你稳住，别再创新低呀。。,新能源与大科技,反对,环保,1,noun_phrases
新能源与大科技还真是不靠谱，，昨天反弹一下今天基本全是绿了，，好多都是昨天反弹的，还不足今天杀跌的，，不希望能连续反弹，但求你稳住，别再创新低呀。。,股市,中立,环保,0,noun_phrases
重启心动态 恭贺南京同曦四连胜新赛季我们的同曦队势如破竹西热指导运筹帷幄，球员团结战斗四连胜已收入囊中！明天第一阶段收官战，同曦加油！重启心动力将继续以专业康复保障球队第二阶段愈战愈勇！我们南京见！,运筹帷幄,支持,体育,1,noun_phrases
重启心动态 恭贺南京同曦四连胜新赛季我们的同曦队势如破竹西热指导运筹帷幄，球员团结战斗四连胜已收入囊中！明天第一阶段收官战，同曦加油！重启心动力将继续以专业康复保障球队第二阶段愈战愈勇！我们南京见！,愈战愈勇,支持,体育,1,noun_phrases
美媒：20个北约国家已失去军援乌克兰的潜力 国与国、人与人一样，还是自己强大的好，依赖别人终究不行！都在明哲保身，尤其是不想卷入战争。美、北约那么强大，也许是畏惧俄罗斯，也许是不想折一兵、丢一卒，竟然视俄罗斯吃下乌克兰，只接武器，不派兵。据此再次证明了弱肉强食之理呀！,北约援乌,反对,世界事件,1,noun_phrases
美媒：20个北约国家已失去军援乌克兰的潜力 国与国、人与人一样，还是自己强大的好，依赖别人终究不行！都在明哲保身，尤其是不想卷入战争。美、北约那么强大，也许是畏惧俄罗斯，也许是不想折一兵、丢一卒，竟然视俄罗斯吃下乌克兰，只接武器，不派兵。据此再次证明了弱肉强食之理呀！,俄罗斯,反对,世界事件,0,noun_phrases
不妥协，继续杠LGBT平权白左，还有福奇博士老马他个人很不同意也不爽，还是维护那些集体围攻骚扰他的平权白左们在自己平台上自由发言的权利.....虽然围攻他的这些人并不受老米第一修正案的保护抛开经营生意，格局还是很重要的共和和共和精神还是要有......不能自己代表其他所有的声音，自己和自己共和吧,格局,支持,权益,1,noun_phrases
不妥协，继续杠LGBT平权白左，还有福奇博士老马他个人很不同意也不爽，还是维护那些集体围攻骚扰他的平权白左们在自己平台上自由发言的权利.....虽然围攻他的这些人并不受老米第一修正案的保护抛开经营生意，格局还是很重要的共和和共和精神还是要有......不能自己代表其他所有的声音，自己和自己共和吧,白左,反对,权益,1,noun_phrases
摩洛哥国家队全体球员决定，将在世界杯比赛获得的所有奖金全部捐给慈善机构，用于本国的贫困家庭和儿童！ 唯有足球不可辜负 摩洛哥国家队全体球员决定，将在世界杯比赛获得的所有奖金全部捐给慈善机构，用于本国的贫困家庭和儿童！ 唯有足球不可辜负,摩洛哥国家队,中立,体育,1,noun_phrases
摩洛哥国家队全体球员决定，将在世界杯比赛获得的所有奖金全部捐给慈善机构，用于本国的贫困家庭和儿童！ 唯有足球不可辜负 摩洛哥国家队全体球员决定，将在世界杯比赛获得的所有奖金全部捐给慈善机构，用于本国的贫困家庭和儿童！ 唯有足球不可辜负,奖金捐给慈善机构,中立,体育,1,noun_phrases
道教 道家养生之要，在天地人和。每个节气，都是地球和人体的气机变化节点。道家二十四节气养生，就是合一年节气的气候变化来修炼自身。按道教养生“春生、夏长、秋敛、冬藏”理论，一入立冬，万物都开始了收敛后的闭藏，无论是阴阳二气的变化，还是动植物的生长活动、农业生产过程、人类养生，都遵循这一规律。“秋冬进补、开春打虎”，伙伴们不妨稍作规划，给自己身体一个调养期。,秋冬进补,支持,环保,1,noun_phrases
道教 道家养生之要，在天地人和。每个节气，都是地球和人体的气机变化节点。道家二十四节气养生，就是合一年节气的气候变化来修炼自身。按道教养生“春生、夏长、秋敛、冬藏”理论，一入立冬，万物都开始了收敛后的闭藏，无论是阴阳二气的变化，还是动植物的生长活动、农业生产过程、人类养生，都遵循这一规律。“秋冬进补、开春打虎”，伙伴们不妨稍作规划，给自己身体一个调养期。,道教,支持,环保,1,noun_phrases
Cpf能有什么坏心思呢。。只不过希望为我们的祖国增加一些结婚率，增加一些新生人口。。不要再负增长了Cpf有什么错呢,结婚率,支持,世界事件,1,noun_phrases
Cpf能有什么坏心思呢。。只不过希望为我们的祖国增加一些结婚率，增加一些新生人口。。不要再负增长了Cpf有什么错呢,负增长,反对,世界事件,1,noun_phrases
我谢谢你天津，半夜被导员电话吵醒让赶紧走说早上要静默，凌晨一点从床上爬起来，外面还下着小雨，一点半到校门口，凌晨出租车还死贵死贵，高铁站冷冰冰回个家怎么就这么难啊,天津,反对,新冠疫情,1,noun_phrases
我谢谢你天津，半夜被导员电话吵醒让赶紧走说早上要静默，凌晨一点从床上爬起来，外面还下着小雨，一点半到校门口，凌晨出租车还死贵死贵，高铁站冷冰冰回个家怎么就这么难啊,静默,反对,新冠疫情,0,noun_phrases
今天感恩节泉州爱尔小儿眼科团队收到了大小患者手写的一封封感谢信、一束束鲜花、一个个童趣小礼物 纸短情长、礼轻谊重，这些承载着患者对我院医疗服务水平的肯定和感激，也折射出医患之间的理解和信任，更见证了医患之间的浓浓情谊 这也将化作我们全院医护人员今后工作的动力，视患者如亲，坚仁心医者本色，以饱满的热情温情服务患者，我们将更铭记在心砥砺前行,爱尔小儿眼科,支持,权益,1,noun_phrases
今天感恩节泉州爱尔小儿眼科团队收到了大小患者手写的一封封感谢信、一束束鲜花、一个个童趣小礼物 纸短情长、礼轻谊重，这些承载着患者对我院医疗服务水平的肯定和感激，也折射出医患之间的理解和信任，更见证了医患之间的浓浓情谊 这也将化作我们全院医护人员今后工作的动力，视患者如亲，坚仁心医者本色，以饱满的热情温情服务患者，我们将更铭记在心砥砺前行,医疗服务,支持,权益,1,noun_phrases
越位技术特烦人，参与有点过了，影响比赛观赏性。可以有，但不可以过多使用。可以学学NBA那个挑战，上下半场只允许使用一次。,美国职业篮球联赛挑战,支持,体育,1,noun_phrases
越位技术特烦人，参与有点过了，影响比赛观赏性。可以有，但不可以过多使用。可以学学NBA那个挑战，上下半场只允许使用一次。,越位技术过多使用,反对,体育,1,noun_phrases
鸡娃不如鸡自己的，最近在学习英语和道德经，学了道德经，看问题心态平和了很多。不要去要求达到完美，一旦达到了完美，就开始走下坡路了，我们只需要努力。,自我提升,支持,文化教育,1,noun_phrases
鸡娃不如鸡自己的，最近在学习英语和道德经，学了道德经，看问题心态平和了很多。不要去要求达到完美，一旦达到了完美，就开始走下坡路了，我们只需要努力。,道德经,支持,文化教育,1,noun_phrases
娃在上的这个老师超级负责有耐心，教育学硕士，前51talk高级外教，10年教龄，课后都会给当节课详细的反馈总结，才25一节！目前遇过最满意的外教了！ 英语启蒙,老师,支持,文化教育,1,noun_phrases
娃在上的这个老师超级负责有耐心，教育学硕士，前51talk高级外教，10年教龄，课后都会给当节课详细的反馈总结，才25一节！目前遇过最满意的外教了！ 英语启蒙,英语启蒙,支持,文化教育,1,noun_phrases
还是要恭喜杭州女足U17拿到全国青少年足球联赛亚军，期待29日浙江U17男足在珠海冲击冠军成功。 2赣州·于都县体育中心,杭州女足,支持,体育,1,noun_phrases
还是要恭喜杭州女足U17拿到全国青少年足球联赛亚军，期待29日浙江U17男足在珠海冲击冠军成功。 2赣州·于都县体育中心,浙江优十七男足,支持,体育,1,noun_phrases
家里突然断网了因为要看世界杯 电视连不上无线这个时候如果你的另一半情绪稳定 重启一下无线网就好了 而不是在那边责怪你为什么早点发现了不去修网,断网,中立,体育,1,noun_phrases
家里突然断网了因为要看世界杯 电视连不上无线这个时候如果你的另一半情绪稳定 重启一下无线网就好了 而不是在那边责怪你为什么早点发现了不去修网,家庭关系,中立,体育,1,noun_phrases
年初看的书年底被下架了。电影更是能看的一个手数得出来。视频打码打的可笑。性教育教授lgbtq居然还会被举报。没有那么愤怒，但是也不知道这样的时代生孩子干啥。,性教育教授,支持,权益,1,noun_phrases
年初看的书年底被下架了。电影更是能看的一个手数得出来。视频打码打的可笑。性教育教授lgbtq居然还会被举报。没有那么愤怒，但是也不知道这样的时代生孩子干啥。,视频打码,反对,权益,1,noun_phrases
个人观察：从我有限的经验来说，80 的鸡娃家长可能既不懂孩子成长发展规律与特点，也不懂学习规律，但大多懂学科或者对某一个学科很擅长。不知这个观察是否准确？欢迎大家留言讨论。,孩子成长发展规律,支持,文化教育,1,noun_phrases
个人观察：从我有限的经验来说，80 的鸡娃家长可能既不懂孩子成长发展规律与特点，也不懂学习规律，但大多懂学科或者对某一个学科很擅长。不知这个观察是否准确？欢迎大家留言讨论。,鸡娃家长,反对,文化教育,1,noun_phrases
2022年10月28日6时57分 ，包茂高速榆蒙段辖区天气晴，车流量适中，车辆通行正常。 疫情防控：因疫情防控需要，榆林北收费站、王则湾收费站、孟家湾收费站、小壕兔收费站、榆林北服务区西区设立疫情防控检测点。,疫情防控,支持,新冠疫情,0,noun_phrases
2022年10月28日6时57分 ，包茂高速榆蒙段辖区天气晴，车流量适中，车辆通行正常。 疫情防控：因疫情防控需要，榆林北收费站、王则湾收费站、孟家湾收费站、小壕兔收费站、榆林北服务区西区设立疫情防控检测点。,路况,中立,新冠疫情,1,noun_phrases
俄罗斯阵亡军官的故事：Alexey Mikhailovich上尉，是莫斯科军校教官，10月份被强征到乌克兰前线。他本可以要求延期，但他二话没说，在第一天就收拾行装， 前往乌克兰，然后很快阵亡。,俄罗斯阵亡军官,中立,世界事件,1,noun_phrases
俄罗斯阵亡军官的故事：Alexey Mikhailovich上尉，是莫斯科军校教官，10月份被强征到乌克兰前线。他本可以要求延期，但他二话没说，在第一天就收拾行装， 前往乌克兰，然后很快阵亡。,莫斯科军校教官,中立,世界事件,1,noun_phrases
火箭后卫埃里克 戈登接受采访时强调，想要赢得比赛，就必须从防守端做起。“一旦我们明白，如果你想赢得比赛或者保持连胜，那唯一的方式在于——防守必须是第一位的。”埃里克 戈登说道，“通过进攻，任何球队都可以获胜。如果你有更好的防守，你在进攻端就更容易获得轻松投篮的机会。这在于你何时给自己一个支配比赛的机会。” 休斯顿火箭,里克 戈登,中立,体育,1,noun_phrases
火箭后卫埃里克 戈登接受采访时强调，想要赢得比赛，就必须从防守端做起。“一旦我们明白，如果你想赢得比赛或者保持连胜，那唯一的方式在于——防守必须是第一位的。”埃里克 戈登说道，“通过进攻，任何球队都可以获胜。如果你有更好的防守，你在进攻端就更容易获得轻松投篮的机会。这在于你何时给自己一个支配比赛的机会。” 休斯顿火箭,休斯顿火箭,中立,体育,1,noun_phrases
加拿大的后防已经不能用 来形容了，我的鉴定是抽象，仿佛身上有蚂蚁在爬。属实给人看乐了。再去睡会，三点起来看德国生死战。,熬夜看球,支持,体育,1,noun_phrases
加拿大的后防已经不能用 来形容了，我的鉴定是抽象，仿佛身上有蚂蚁在爬。属实给人看乐了。再去睡会，三点起来看德国生死战。,加拿大后防,反对,体育,1,noun_phrases
近期疫情形势严峻，开发区公安分局提醒：要时刻注意做好个人防护，保持安全社交距离，养成科学佩戴口罩、勤洗手、常通风，不聚集、少聚餐、分餐制等良好卫生习惯，倡导健康的生活方式。,分餐制,支持,新冠疫情,1,noun_phrases
近期疫情形势严峻，开发区公安分局提醒：要时刻注意做好个人防护，保持安全社交距离，养成科学佩戴口罩、勤洗手、常通风，不聚集、少聚餐、分餐制等良好卫生习惯，倡导健康的生活方式。,疫情,反对,新冠疫情,0,noun_phrases
参加 （CBIS2022），并一同对新能源与动力电池产业开展了积极的探讨与交流。详情请戳： O促进能源转型，道达尔能源提供浸润式电池冷却方案,新能源,中立,环保,0,noun_phrases
参加 （CBIS2022），并一同对新能源与动力电池产业开展了积极的探讨与交流。详情请戳： O促进能源转型，道达尔能源提供浸润式电池冷却方案,动力电池,中立,环保,1,noun_phrases
病例贴 嵌体 小妹妹从高中就在我这里看牙，现在已经大学毕业了，去年二月份赶在过年前给她做了一个onlay嵌体，今天来拔智齿，顺便给嵌体做个复查。接近两年时间嵌体没有任何问题。喜欢这样的医患关系，拔完智齿刚好不忙，很放松的聊聊天，从医患变成了朋友。,医患关系,支持,权益,1,noun_phrases
病例贴 嵌体 小妹妹从高中就在我这里看牙，现在已经大学毕业了，去年二月份赶在过年前给她做了一个onlay嵌体，今天来拔智齿，顺便给嵌体做个复查。接近两年时间嵌体没有任何问题。喜欢这样的医患关系，拔完智齿刚好不忙，很放松的聊聊天，从医患变成了朋友。,修牙嵌体,支持,权益,1,noun_phrases
刘诗诗 亲爱的自己讲的是一位年轻女性成长的故事，她饰演性子比较冲的女主角李思雨，一家新能源电池的销售骨干，梦想是早日在事业上登顶。——刘诗诗Kinfolk,刘诗诗,中立,环保,1,noun_phrases
刘诗诗 亲爱的自己讲的是一位年轻女性成长的故事，她饰演性子比较冲的女主角李思雨，一家新能源电池的销售骨干，梦想是早日在事业上登顶。——刘诗诗Kinfolk,亲爱的自己,中立,环保,1,noun_phrases
市场似乎高估了LGBTQ的社会比例。生理医学上的LGBTQ人数比例和试图尝试LGBTQ生活的人数比例完全不是一个量级的。,性少数者,中立,权益,1,noun_phrases
市场似乎高估了LGBTQ的社会比例。生理医学上的LGBTQ人数比例和试图尝试LGBTQ生活的人数比例完全不是一个量级的。,社会比例,中立,权益,1,noun_phrases
白豆晚晚 强势股的突然转势是大a的顽疾 并且这种转势是迅雷不及掩耳的，猝不及防的，烈度和伤害都是巨大的，之所以频频出现这样的现象，跟资金根深蒂固的博弈思维关系巨大。 今天的下跌轮动新能源，据说是对岸国的特斯拉盘后下跌，吓坏了我们的基金jl，特斯拉感觉是我们新能源基金经理的信仰，正如茅台是传统基金经理的信仰一样。 2保定·河北金融学院,特斯拉盘后下跌,反对,环保,1,noun_phrases
白豆晚晚 强势股的突然转势是大a的顽疾 并且这种转势是迅雷不及掩耳的，猝不及防的，烈度和伤害都是巨大的，之所以频频出现这样的现象，跟资金根深蒂固的博弈思维关系巨大。 今天的下跌轮动新能源，据说是对岸国的特斯拉盘后下跌，吓坏了我们的基金jl，特斯拉感觉是我们新能源基金经理的信仰，正如茅台是传统基金经理的信仰一样。 2保定·河北金融学院,强势股转势,中立,环保,1,noun_phrases
放鞭炮民俗中认为是一种祛邪，避灾，祈福的象征，已流行了几千年。古人的智慧现在专家不一定都了解，希望千年文化继续流传下去。如果各种手段不太奏效又劳民伤财，不放放开试试放鞭炮,放鞭炮,支持,文化教育,1,noun_phrases
放鞭炮民俗中认为是一种祛邪，避灾，祈福的象征，已流行了几千年。古人的智慧现在专家不一定都了解，希望千年文化继续流传下去。如果各种手段不太奏效又劳民伤财，不放放开试试放鞭炮,文化传承,支持,文化教育,1,noun_phrases
今天居家隔离第九天了，啥情况不清楚，按大形势应该放开了，可还这么关着，说明天要做核酸，怎么做还不清楚，做完之后没问题应该放开。从现在的疫情看，真正放开疫情会不会放大，医患会不会增多，从管理的情况看已无法准确统计。依我看会逐步放开，象专家说的，要百分之八十到九十要患新冠，只能注意了。,疫情放开,反对,权益,0,noun_phrases
今天居家隔离第九天了，啥情况不清楚，按大形势应该放开了，可还这么关着，说明天要做核酸，怎么做还不清楚，做完之后没问题应该放开。从现在的疫情看，真正放开疫情会不会放大，医患会不会增多，从管理的情况看已无法准确统计。依我看会逐步放开，象专家说的，要百分之八十到九十要患新冠，只能注意了。,居家隔离,中立,权益,0,noun_phrases
总算是碰上护食的流浪猫了 喜提五针狂犬疫苗还是最近广州疫情最严重的时候 绿码没有48小时核酸进不去医院 发热门诊只收红码最后在医院门口打的针,流浪猫,反对,新冠疫情,1,noun_phrases
